example_id,question,correct_answer,ocr_output_snippet,failure_type,notes
13e90002-caa4-4e10-be9d-3cf49e865042,What was the equity in earnings of subsidiaries and affiliates for The AES Corporation in 2020?,383,"===== PAGE 214 ===== S-3 | 2022 Annual Report THE AES CORPORATION SCHEDULE I CONDENSED FINANCIAL INFORMATION OF PARENT STATEMENTS OF OPERATIONS YEARS ENDED DECEMBER 31, 2022, 2021, AND 2020 2022 2021 2020 For the Years Ended December 31, (in millions) Equity in earnings of subsidiaries and affiliates (280) (47) 383 General and administrative expenses (140) (121) (125) _ (65) (6) Other expense Interest expense 163 74 163) (35) (201) 17 Income tax benefit (expense) See Notes to Schedule |.",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
4a6edc95-c641-4236-9874-81a2d38b5acf,What logic state is required for the EA pin to function properly in the EPROM Program Lock scheme?,The internally latched value of the EA pin must agree with its external state.,"===== PAGE 18 ===== intel. PROGRAM MEMORY LOCK The two-level Program Lock system consists of 2 Lock bits and a 32-byte Encryption Array which are used to protect the program memory against soft- ware piracy. ENCRYPTION ARRAY Within the EPROM array are 32 bytes of Encryption Array that are initially unprogrammed (all 1s). Every time that a byte is addressed during a verify, 5 ad- dress lines are used to select a byte of the Encryp- tion Array. This byte is then exclusive-NORed (XNOR) with the cod",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
889c8ae2-4e3c-4f2d-8332-559dcad00273,"What should a Wiki Ambassador consider if their studies are nearing the end, according to the guidelines provided by Wikimedia Serbia?",The Wiki Ambassador should think about who might replace them in their role.,"===== PAGE 6 ===== For the end Finally, you need to know that Wikimedia Serbia regularly hosts meetings of Wiki Ambassadors that you should attend. In addition, it will be your responsibility to write a report in a specific format after each meeting, workshop or other activity, and to forward it to the Educational Program Manager. Wiki ambassadors also write annual reports. A good Wiki ambassador thinks in advance, so if your studies are nearing the end, think about who might replace you in your",no_issue,OCR preserves the full recommendation about replacement; the gold answer is paraphrased rather than copied exactly.
8c971839-5637-4e73-a0be-8cf3a8a3b3ae,What is the maximum prison sentence for a person convicted of Manslaughter II under Oregon law?,10 years,===== PAGE 8 ===== Types of Criminal Homicide: 1. | MURDER (ORS 163.095): Person acts intentionally (has a conscious objective). Murder is an unclassified felony punishable by life imprisonment. 2. MANSLAUGHTER II (ORS 163.125): Person acts recklessly (is aware of and consciously disregards a substantial and unjustifiable risk). Manslaughter II is a Class B felony punishable by up to 10 years imprisonment. 3. CRIMINALLY NEGLIGENT HOMICIDE (ORS 163.145): Person acts with criminal negligence (fail,no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
ec8c0152-7d1d-4685-b551-10b09e71ba76,What was the difference between the estimated and accounted tax charges for Corporate Income Tax in 2011 for the Luxembourg company?,"6,098,520 EUR","===== PAGE 2 ===== pwe 4. Remarks e We understand that no transfer pricing study has been performed for the Luxembourg company and that no advance pricing agreement has been discussed with the Luxembourg tax authorities. We recommend you to collect as much documentation as possible in order to provide the Luxembourg tax authorities with the most appropriate information, in case they raise some specific questions. e We have assumed that the arm’s length principle has been respected regarding the ",no_issue,"The OCR table preserves the estimated, accounted, and difference values; this page is answerable from OCR."
119aa71b-f6bf-47b5-9f46-fe0222087f22,"What was the amount of property and equipment acquired under finance leases by Amazon.com, Inc. in 2019?","13,723","===== PAGE 36 ===== Table of Contents AMAZON.COM, INC. CONSOLIDATED STATEMENTS OF CASH FLOWS (in millions) Year Ended December 31, 2017 2018 2019 CASH, CASH EQUIVALENTS, AND RESTRICTED CASH, BEGINNING OF PERIOD $ 19,934 $ 21,856 §$ 32,173 OPERATING ACTIVITIES: Net income 3,033 10,073 11,588 Adjustments to reconcile net income to net cash from operating activities: Depreciation and amortization of property and equipment and capitalized content costs, operating lease assets, and other 11,478 15,34",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
848d6744-2489-473b-b5fa-9dc0938d4510,What is the total width in millimeters of the stripes in the COLOR PATTERN: STREAMER SIZE table?,70.3 mm,===== PAGE 1 ===== MIL-DTL-11589/167F COLOR PATTERN: STREAMER SIZE FINISH: MOIRE TOTAL | WIDTH OF STRIPES FUNCTION COLOR & CABLE NUMBER WIDTH INCHES & METRIC OF STRIPES | STRIPES FILLING YARN 1/32 0.8mm Edge & Binder | Green HAD | 67129 25/32 19.8 mm Ground Green HAD | 67129 1/8 3.2 mm Ground Air Force Yellow | HC 67103 3/16 4.8mm Ground Ultramarine Blue | HS 67118 2-3/4” 1/8 3.2 mm Ground Air Force Yellow | HC 67103 White (70.0mm) 1/4 6.4 mm Ground Scarlet HL 67111 HA 67101 1/8 3.2 mm Ground Ai,structure_corruption,The table columns bleed together and the total-width field is merged into the stripe rows; the key value is distorted from 70.3 mm to about 70.0 mm.
b6a5ca06-85c3-48ca-81d6-8bd6127824c2,"What is the quarterly copay for a semi-private room under the Community Choice plan before the deductible is applied, given that the quarterly copay for a transplant at a Center Center or Designated Hospital under the same plan is the same amount?",\$275,"===== PAGE 64 ===== Transplants 3: Find out what’s covered Transplants Benefits are payable — subject to any deductible, copays, coinsurance and benefit limits — for necessary medical and surgical expenses incurred for the transplanting of a human organ. To get the highest benefit, see “Quality Centers and Designated Hospitals for transplants” later in this section. Community Choice Non-Community Choice At a Quality Center or Designated | $275 quarterly copay, then $275 quarterly copay, then Hos",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
88d5484e-4a97-4775-95b7-a0bd095537b4,What is the minimum amount for a Lessee's written demand or written assertion seeking payment of money to be considered a claim under the Contract Disputes Act of 1978?,"$100,000","===== PAGE 9 ===== engineering-based Best Management Practices for construction in or near aquatic sites shall be incorporated into the planning process and be fully implemented and continuously maintained during all work. 26. DISPUTES CLAUSE a. Except as provided in the Contract Disputes Act of 1978 (41 U.S.C. § 7101- 7109) (the Act), all disputes arising under or relating to this lease shall be resolved under this clause and the provisions of the Act. b. “Claim,"" as used in this clause, means ",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
b8ad9d57-1a6c-41a2-876b-73dbedbdf94a,How did TransCanada leverage its connections for the Keystone XL pipeline's approval?,TransCanada hired lobbyists with links to the Obama administration.,"===== PAGE 0 ===== KEYSTONE XL CONFLICT OF INTEREST TIMELINE September 19, 2008 — TransCanada submits a permit application to the State Department for the Keystone XL pipeline. November 14, 2008 — TransCanada issues a final request for proposals to conduct the required environmental impact statement for Keystone XL to its hand-picked roster of contractors. At TransCanada’s recommendation, the State Department hires the firm Cardno ENTRIX, even though they list TransCanada as a “major client.” Ap",no_issue,OCR preserves the line about lobbyists with links to the Obama administration; the answer is recoverable even if the wording is paraphrased.
96ab64d2-3512-4906-a4ed-017b208a888e,"If a customer purchases sportswear and dresses already reduced by 25\%-50\%, what is the total percentage savings they can achieve by taking an extra 30\% off?",45-65,"===== PAGE 2 ===== AY Naso, jowl0, 1997+ Tee Rasevecron Post TUESDAY IS PREVIEW DAY! ALL STORES OPEN EARLY BoTH Days AT SAM One Day Sale look for our lowest prices y season! 0, Oo, Sportswear, dresses 30 %*u=HO” O Yo and suits for misses, : Ol |= petites, women, juniors § : 30% off career se colts Roeteel seseni Pee Py off dresses and suits a) 23.99 juni heen aT Vee lao) coe shortalls Take an extra 30” off sportswear and fe [tty already reduced 25%-50% for a total savings of fi _2._.. ES rere he",text_corruption,"The promotional callout is heavily garbled and the key total-savings range is not readable in OCR, even though the surrounding ad text is present."
032a0c06-4f55-458e-8618-93ec82d768c6,"How much did JPMorgan Chase's credit derivatives used to manage loans and lending-related commitments decrease from December 31, 2020, to March 31, 2021?","$1,716 million","===== PAGE 61 ===== Ratings profile of derivative receivables March 31, 2021 December 31, 2020 Exposure net of %ofexposurenet Exposure net of % of exposure net (in millions, except ratios) collateral of collateral collateral of collateral Investment-grade $ 32,774 61% ¢ 37,013 63 % Noninvestment-grade 20,671 39 21,789 37 Total $ 53,445 100% ¢ 58,802 100 % The Firm also holds additional collateral (primarily cash, G7 government securities, other liquid government agency and guaranteed securities,",no_issue,"OCR preserves the two needed values, 2,161 and 3,877, across the sampled pages; the gold answer comes from subtraction, not OCR repair."
76550cb6-e96e-4c38-8ad6-f55d9cbc4414,What is the contribution margin percentage for Product 3?,60\%,"===== PAGE 0 ===== Cibretexts: 5.8: Break Even Point for Multiple Products Although you are likely to use cost-volume-profit analysis for a single product, you will more frequently use it in multi-product situations. The easiest way to use cost-volume-profit analysis for a multi-product company is to use dollars of sales as the volume measure. For CVP purposes, a multi-product company must assume a given product mix or sales mix. Product (or sales) mix refers to the proportion of the company’s t",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
b6dd5d59-9ff7-4117-a5dd-97a63b95548e,"How many Satellite Control Earth Stations are integrated at MCF - Hassan to manage the operations of the organization that the Indian Institute of Space Science and Technology (IIST) established in 2007 aims to provide quality manpower to, geostationary and geosynchronous satellites?",9,"===== PAGE 7 ===== alfaas Rat? 2015-2016 SRC E i: IMM: Eee MEO ESEEy Indian Institute of Space Science and Technology Towards capacity building in human resources and to meet the growing demands of the Indian Space Programme, the Indian Institute of Space Science and Technology (IIST), a deemed University, was established at Thiruvananthapuram in 2007. Towards the fulfillment of its primary objective of providing quality manpower to ISRO, 99 students of 2011 batch of B. Tech graduates were place",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
a494a9e7-0eb8-4048-94e0-bd173b2de0c1,What was the total surplus available for appropriation by ITC Limited in the year ended 31st March 2005?,2594.38 crores,"===== PAGE 1 ===== REPORT OF THE DIRECTORS 26.3% is well below that of China, which sustains a level of 45% of GDP. For India’s oft quoted advantage of demographics to become a driver of growth, about 10 million new jobs need to be created annually over the next decade. Public- private partnerships in investment are critical to realise such outcomes, particularly in generating off-farm employment and absorbing displacement of labour inherent in agricultural reform. In line with this rationale, y",no_issue,"OCR preserves the line ""Appropriation 2594.38 1935.73""; the answer is available despite the surrounding report text being noisy."
969ae6f5-21d0-49d0-907b-bfad6c90bb74,What was the difference between the 2013 Budget and the 2013 Expenditures for the Road Agent's Salary in the Highway department?,0.19,"===== PAGE 8 ===== Town of Campton 2014 Approved Budget Acct. # Department 2013 Budget 2013 Expenditures 2014 Proposed 4312 Paving Appropriation/Bridges $175,000.00 $180,690.96 $175,000.00 Highway Road Agent's Salary $52,498.35 $52,498.16 $53,285.88 Highway Crew Wages $109,272.00 $106,387.84 $110,000.00 Telephone & Internet $3,000.00 $2,573.10 $3,000.00 Culverts/Supplies $6,000.00 $4,335.00 $6,000.00 Gravel $40,000.00 $29,624.11 $35,000.00 Leases Backhoe & Trucks $40,106.94 $40,106.94 $40,106.94",no_issue,"The OCR table preserves 52,498.35 and 52,498.16; the answer is the arithmetic difference, so this is not an OCR failure."
74af8d34-bbfd-4135-a90a-5d07eefc4863,What condition must an orthogonal matrix A and vector b meet for the integral of f(Ax+b) over \mathbb{R}^{d} to equal the integral of f(x) over \mathbb{R}^{d}?,\int_{\mathbb{R}^{d}}f(A x+b)d x=\int_{\mathbb{R}^{d}}f(x)d x,"===== PAGE 0 ===== 13. Lebesgue Integral and Volume 167 Ra Ra Rd [ofaar = a f fade (linearity). Re Re (ii) If f<g, thenalso f f(x)dx < f g(x)dz. Rd Rd (iti) Ifbe€R*, A an orthogonal d x d—matriz, then / f(Az +0)de = / f(a)de. Ra Re Proof. Parts (i) follows directly from the corresponding rules for the integral of elementary functions. The rule (iii) holds for elementary functions, because for an orthogonal matrix A and an elementary function t, the function to A is again elementary as A maps a c",text_corruption,"The mathematical expression is flattened into noisy ASCII-like text, losing symbols such as integral notation, subscripts, and blackboard-bold R^d."
87c65cdc-a473-490d-a966-9a6753d6904b,"For example number 7, what is the difference between the values of $\Delta h_{1 c}^{(1)}$ and $\Delta h_{1 d}^{(1)}$?",0.0015,"===== PAGE 13 ===== characteristic results of the calculations, & a 4 5 = No 1 1 wy 4.4000 | 1.6000{ 2.1000] 2.3000] 2.3000! 2.3000] 2.4000 lo 0.2128 | 0.3358 | 0.4370} 0.2069] 0.4801] 0.7237} 0.8489 Cam 4.0926 | 1.1815 | 0.6090 | 0.1717 | 0.5380) 0.9519) 0.9178 Cok 1.0927} 1.1818 | 0.6096} 0.1721] 0.54131 0.9533] 0.9245 zy 0.7138 | 1.0878 | 1.4226 | 4.9555] 1.3248} 4.0112! 4.0422 V4 0.1533 | 0.4021} 0.5056 | 0.4289] 0.6744] 0.7507| 0.8133 ty 1.8354} 41.6785} 3.4001] 7.5288} 3.5811| 2.2167] 2.26",structure_corruption,The dense numeric table is flattened so row/column alignment is fragile; identifying the example-7 values for Δh terms depends on structure that OCR does not preserve cleanly.
a3c89557-29ec-4e5f-88be-d05fc54d4dab,在药物组合关联规则中，哪个组合的置信度最高？,炒白术→党参,"===== PAGE 0 ===== PS BS SHUR PS BS BUR 8 was 40 18 Heit] 20 9 EY 40 19 AAAS 20 10 KE 37 Fb, MTT AGE DW KAY, CHIT 4 LAKE: AD MEZG 302 WIV (24.65%), HEZG 163 HYE( 13.318), MK FAMEZY 118 HI 9.63%), FETE 106 TAK (8.65% )o 2.2 MPA WAAKD I Slee 2, AW a th Be I UIUDET IT. SCRE ML 23 CEASE DT BO), BE FEA 0.95 GFX Y, BABE v TE x AUS Hy A Sl 2 TPA A CEM BE >0.95 ) eS a Ste 1 WARCKE 0.97222 2 HEL, DAS ORE 0.95238 3 HAL, eb Ro 0.96666 4 BS DAR BE 0.96774 5 RSL WD AR EB 0.96969 6 HBL, OSD AR 0.96153 7 HBL, ",text_corruption,"Chinese text is badly garbled by OCR and the key rule string is unreadable, so the highest-confidence combination cannot be recovered reliably."
4fa2f35c-90c8-4387-816a-8771a94a440c,"For how many people has Israel's war against Hamas in Gaza resulted in deaths, according to Gazan health authorities?","More than 37,000","===== PAGE 0 ===== “All the News That’s Fit to Print” Che New York Cimes THE WEATHER Today, partly sunny, very warm, hu- mid, high 88. Tonight, mainly clear, humid, low 72. Tomorrow, partly sunny, very warm, humid, high 88. Weather map appears on Page B12. VOL. CLXXIII.... No. 60,189 © 2024 The New York Times Company TUESDAY, JUNE 18, 2024 Prices in Canada may be higher $4.00 NATALUJA GORMALOVA FOR THE NEW YORK TIMES. Sandra Dadjan administering a three-month contraceptive injection to Mary Amoa",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
49e78dcc-9dd3-49c3-8b75-471e1a340ed5,What is the maximum fall time specified for the MCS * 51 controller's external clock drive?,20 ns,"===== PAGE 12 ===== intel. EXTERNAL CLOCK DRIVE MCS® 51 CONTROLLER Symbol Parameter Min Max Units 41/TCLCL Oscillator Frequency (except 8751H-8) 3.5 12 MHz 8751H-8 3.5 8 MHz TCHCX High Time 20 ns TCLCX Low Time 20 ns TCLCH Rise Time 20 ns TCHCL Fall Time 20 ns EXTERNAL CLOCK DRIVE WAVEFORM TCHCX TCLCH }— TCHCL 25 25 / 25 f 08 08 ‘ TCLCX TeLCL 272318-9 AC TESTING INPUT, OUTPUT WAVEFORM 24 20 TEST POWTS < os ous 272318-10 AC Testing: Inputs are driven at 2.4V for a Logic “1” and 0.45V for a Logic ",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
a9cb4872-83cb-41f4-b793-9a853f7ec204,In which month did the shares reach the highest price between April 2005 and March 2006?,December 2005,"===== PAGE 5 ===== GODFREY PHILLIPS INDIA LIMITED | 9. GENERAL BODY MEETINGS Details of the last three Annual General Meetings (AGM) are as follows: 2002-03 September 26, 2003 4:00 PM. Y.B. Chavan Auditorium, General Jagannath Bhosle Marg, Mumbai - 400021 2003-04 September 28, 2004 3:30 PM. -do- 2004-05 September 15, 2005 3:30 PM. Rama Watumull Auditorium, Kishinchand Chellaram College, Dinshaw Wacha Road, Churchgate, Mumbai - 400020 There was no other General Body Meeting during the last three ",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
4ccf7c68-5da6-4a56-a682-861ee45dc52a,What city will host the U.S. field trials starting on a Friday?,"Eugene, Oregon","===== PAGE 0 ===== “All the News That’s Fit to Print” Che New York Cimes THE WEATHER Today, sun and clouds, warmer, a bit more humid, high 85. Tonight, partly cloudy, warm, low 70. Tomorrow, partly sunny, very warm, humid, high 88. Weather map, Page D8. VOL. CLXXIII.... No. 60,188 © 2024 The New York Times Company MONDAY, JUNE 17, 2024 Prices in Canada may be higher $4.00 « An injured Russian soldier in January at a hospital in Bakhmut, Ukraine, close to the front lines. The soldier survived and",no_issue,"OCR preserves the phrase ""Friday in Eugene, Ore.""; the answer is available despite the newspaper page being long and noisy."
a782b7d8-000a-4645-b6c1-49c62a184780,"If a mentor teacher in the Peters Township Federation of Teachers worked from 2010-2011 to 2019-2020, what is the total stipend they would receive over these years?","$9,975",===== PAGE 8 ===== Peters Township Federation of Teachers Non-Binding Arbitration Final Best Offer 6. Section 11 Alb & A2 - INSURANCE AND HOSPITALIZATION A. Health Care. Each employee will be provided with medical benefits unless he/she chooses option A-1-c: 1. Each employee may elect one of the following options: a. participate in a Highmark PPO Blue type program or an equivalent program as attached in appendix C. b. receive a per month credit contributed toward a tax sheltered annuity rather t,no_issue,OCR preserves the yearly mentor-teacher stipends well enough to sum them; any miss would be arithmetic rather than OCR corruption.
a57a9c82-aeae-4da7-9913-3e39bde1b1d2,What are the conditions for the discontinuities of the multipliers along the characteristics in the context of gas dynamics?,"$y^{
u} ho v^{2} \operatorname{tg} \alpha \Delta h_{1} \pm \Delta h_{2}=0$","===== PAGE 6 ===== In connection with the introduction of discontinuous multipliers, we /13 should mention the articles (Refs. 3, 7, 8). In (Ref. 3), the discontinuous Lagrange multipliers were first discussed in connection with the application to variational problems of gas dynamics. It was shown that it is only the charac- teristics which can serve as the lines of discontinuity, and the derivation of the conditions for the discontinuities was given. The problems of gas dynamics in connection w",text_corruption,"The critical gas-dynamics condition is OCRed into a degraded symbol string like ""yovtgaAh"" instead of the original formula with Greek letters and operators."
93ad4bda-e8bd-441a-bbb8-a17cebc263f1,What is the range of premium increases per pay period for workers on the employee plus spouse/domestic partner benefit tier at the University of Minnesota if the proposed health insurance changes are implemented?,$22 to $35.80,"===== PAGE 0 ===== Local 3800 Local 3937 AFSCME. §22:2° ® Local 3807 University of Minnesota Clerical, Technical, and Healthcare Workers Talking Paper #2: Health Insurance at the University of Minnesota All University Employees would face increases in deductibles and co-pays if the changes proposed by the administration in the health insurance plan are implemented. Workers on the employee plus spouse/domestic partner benefit tier would see premium increases per pay period ranging from $22 to $35",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
1dc1d806-6dda-4c9e-a391-cffa15ae14f2,What is the time frame within which Senior Executives must resolve a dispute after written notice is given?,forty-five (45) days,"===== PAGE 93 ===== [ * ] = Certain confidential information contained in this document, marked by brackets, has been omitted and filed separately with the Securities and Exchange Commission pursuant to Rule 24b-2 of the Securities Exchange Act of 1934, as amended. making all contact with relevant Regulatory Authorities; provided, however, that Ono shall not take any action with respect to any such recall without first consulting in good faith with Array and obtaining approval of the JDRC, to th",no_issue,"OCR preserves the answer or the needed supporting evidence; any failure would likely be downstream reasoning or retrieval, not OCR."
c132e7f1-47cb-4531-82f9-139fbf36e46f,安徽省在“三资”清理中采取了哪些措施来确保清查的彻底性和规范性？,清查面广、清查彻底、清查程序规范、推行委托代理制,"===== PAGE 0 ===== To ka — im 2% fe FT a Ka 20104-1221 Be oS a5 F~ TEARS eC ATE: {020184399251 E-mail:paowen]49@sina.com DK PRA EAH FRE ARG TS Ae AQ LR HY TAPS , ACTOR OE CRBS 8 8 a TTR LAE) SR REG PAU GOK. RK Thiel FR AS EAE GB BF VETODLR BOAR a, WS MBER ADU PIE Ce ak BS TET FAL, AMMA KIRA TF) IV CATY) BEA ROUTAN GE Se AI PHL AN 8 TK ANUP EEL , FEU # Nida SE BL. FAURE Pte 88 AF is Uae 7 THEY “HA SR BTL WL BIL ARCH BBP FAD WAS PEA RAR ARES #NUG , Se SE ANE BSI BUK 2.6 DAE, TERIA NEE $390.3 75 TC",text_corruption,"Most of the Chinese page is unreadable in OCR, so the answer phrase cannot be recovered; this is a severe character-level OCR failure."
